,uncoordinated,smart,v2g
Peak Load (Kw),2511.9200000000005,2450.000000000001,2450.000000000001
Total Energy Charged (Kwh),3112.4399999999973,3731.0983335951623,4322.330452225004
Total Charging Cost (Usd),456.4391999999999,511.9614670293663,327.88134217513414
Avg Cost Per Vehicle (Usd),4.564391999999999,5.119614670293663,3.2788134217513414
Avg Final Soc,0.8086309074084754,0.8989122412131131,0.8812537003076674
Max Transformer Loading (%),117.25343993594592,114.36308793395793,114.36308793395793
Avg Transformer Loading (%),40.146071741182446,40.60505495915954,40.994688540517636
Transformer Overload Count,131,135,88
Max Voltage Deviation (P.U.),0.05,0.049000000000000016,0.049000000000000016
V2G Energy Provided (Kwh),0,0,66.04938271604858
Load Factor,0.5983961803454462,0.6205339947119631,0.6264884475001015
V2G Revenue (Usd),0,0,171.20000000000005
Vehicles Connected,100,100,100
Vehicles Meeting Soc Target,100,100,97
