,uncoupled,coupled
Qos Satisfaction Embb (%),39.002685185185186,15.443703703703704
Qos Satisfaction Urllc (%),39.43574074074074,19.227222222222224
Qos Satisfaction Mmtc (%),40.491219878661624,16.882513833092172
Overall Utilization (%),73.82972222222223,60.123518518518516
Resource Waste (%),26.17027777777777,39.876481481481484
Handover Attempts,134843,156168
Handover Successes,128119,148393
Handover Failures,6724,7775
Handover Success Rate (%),95.01346009803994,95.02138722401516
Handover Rate Per Min,749.1277777777777,867.6
Load Imbalance Std Users,15.606397160482173,6.978371056776485
Degradation Events,0,25915
Degradation Duration S,0,124664
Affected Intersections,0,14
Bg Completion Rate (%),100,100
Bg Avg Travel Time S,540.9804347826087,559.324347826087
Bg Avg Delay S,22.67608695652174,41.02
Cv Avg Travel Time S,528.005,545.515
Total Emissions Kg Co2,2827.2380850000213,2932.788915000021
Max Queue Length,12,17
Avg Queue Length,0.26313333333333333,0.43236666666666673
