,static,dynamic
Qos Satisfaction Embb (%),8.564373211855226,49.78714480153329
Qos Satisfaction Urllc (%),55.69123079914446,44.81951890225272
Qos Satisfaction Mmtc (%),87.06487285519151,48.4065640027693
Slice Utilization Embb (%),71.80354249418997,79.20072357206895
Slice Utilization Urllc (%),69.2300831149752,79.58979468753373
Slice Utilization Mmtc (%),53.92252992972417,53.2646912958837
Overall Utilization (%),67.45530216753238,75.2662148273659
Resource Waste (%),32.54469783246762,24.733785172634093
Handover Attempts,184883,184883
Handover Success Rate (%),94.97628229745298,94.97628229745298
Handover Failures,9288,9288
